GEOID,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_inequality,beta_medIncome,beta_tot_nurse,beta_pcntblackfem,se_Intercept,se_inequality,se_medIncome,se_tot_nurse,se_pcntblackfem,t_Intercept,t_inequality,t_medIncome,t_tot_nurse,t_pcntblackfem,p_Intercept,p_inequality,p_medIncome,p_tot_nurse,p_pcntblackfem,sumW_Intercept,sumW_inequality,sumW_medIncome,sumW_tot_nurse,sumW_pcntblackfem
51139.0,1502185.65769522,1871071.06551053,-0.30070483915626994,-0.0415924342366486,-0.23427099425450204,-0.0664338449017679,0.7551803849893501,-0.11399971206024126,0.029775002340477825,-0.014873370506302462,0.21718225957072276,0.10562845709992363,0.12383177522898119,0.014891922632173664,0.05970601111949634,0.025139879840953665,0.2426651812037548,-0.9206014518441721,1.9994061932708138,-0.24911010177073656,8.63895376369007,0.4352847679916315,0.35733006096401054,0.04565141373033384,0.8032920920941256,8.925601266126515e-18,0.6633859937108488,15.800477821070201,2272.7605849556903,15.800477821070201,639.5078822645713,15.800477821070201
51141.0,1385115.85851871,1629501.72673333,-0.38688600985936056,-0.19798597092322018,-0.3351817122584721,-0.05170429760088846,0.9318272553934965,-0.258364199876286,0.029186669632138965,0.06211206205331434,0.15550600020605973,0.01173518840604134,0.11246350889369053,0.014880574104074852,0.15713051693693272,0.025357881529145,0.11794155506077857,-2.297315835312523,1.9613940583210814,0.3952896182365656,6.132452351247458,0.09950003118064596,0.02166698205555849,0.04992230782430606,0.692656314523625,9.746157803156473e-10,0.9207476863643382,15.632986194013297,2327.523256129649,15.632986194013297,644.2462620399783,15.632986194013297
51143.0,1459752.4514553002,1658542.50110532,-0.3485384489023,-0.28170806011611826,-0.29382924210667555,-0.054709206795624465,0.8491154780347855,-0.23707506634051362,0.029360262221498467,0.08957815560240197,0.18401219856724055,0.03446185694386369,0.11552493365320055,0.014889689104124087,0.15034978462840026,0.02517258354852724,0.0959210002013623,-2.0521549664092413,1.9718519316408276,0.5957983632886504,7.310024345038134,0.3592733277542935,0.04023827680428248,0.048715143269678664,0.5513533626309127,3.381081852274349e-13,0.7194150552669587,13.453727142467464,2302.750480886597,13.453727142467464,633.0638492179396,13.453727142467464
51145.0,1573097.55682998,1762544.9017637002,-0.25773239806475684,-0.596284339526955,-0.14560445450759082,-0.11212794355716602,0.37882840000654006,-0.14214314131156736,0.02971361655827997,0.04068214170897072,0.2186580145581799,0.02021850391051526,0.15279352941800728,0.014900383026086013,0.09375568823710044,0.025391022898616354,0.08985951439146718,-0.9302955554007595,1.9941511910304932,0.43391651721534935,8.611626850610078,0.22500125943742197,0.35229039865506906,0.04622284369800443,0.664379211599869,1.1269783915323142e-17,0.821993100571771,14.35609972670098,2260.3482546015357,14.35609972670098,623.6528059964602,14.35609972670098
51147.0,1534597.90066436,1718064.7351501,-0.1908167225172852,-0.35639661766838576,-0.2274671377444174,0.036650415227132194,0.6486985281586237,-0.17383312481232915,0.029580514459062072,0.06415427138050019,0.20869527368149884,0.014393209793427425,0.1380014891077625,0.014896913583896334,0.10841836807688454,0.025252734933548276,0.0854302110242653,-1.2596467323376959,1.9856807447039777,0.5917288049844597,8.264264216556086,0.16847915533463012,0.20789150259697556,0.047156601245674154,0.5540752833973664,2.0573512916169377e-16,0.8662173142395213,12.338687528571029,2276.120232025924,12.338687528571029,627.6054358286542,12.338687528571029
51149.0,1640428.84945588,1734232.5071202,0.010300524557018185,-0.3084021615872798,0.015440119855007747,-0.005139595297989562,0.2122168243126833,-0.08410243492095953,0.02977718547466091,0.12606627989321614,0.22358098772465018,0.029614797704539328,0.18030506480098868,0.014906855139599795,0.09736165511362385,0.025545626911644203,0.08613951422166517,-0.4664452161329323,1.9975497981165957,1.2948247412812894,8.752221603249735,0.34380037979237676,0.6409295752271904,0.045852594470171516,0.19547696888759872,3.3703489514095452e-18,0.7310196932540116,16.098518313341412,2239.2529158077023,16.098518313341412,608.2938099449359,16.098518313341412
51153.0,1585408.39786176,1896580.15816983,0.03811450659529562,-1.1781560721155424,0.16847129000503178,-0.13035678340973617,0.5783232232091651,-0.10996256355981456,0.029953360794834273,-0.013834919874000479,0.22752057290136504,0.0633420376729221,0.15457145590687307,0.014899561148753682,0.05301480641351827,0.025440893016349813,0.10150522078948741,-0.7114027807699845,2.0103518818968578,-0.26096331968256903,8.943104817710092,0.6240273867714422,0.4768881158013437,0.04448028062967707,0.7941381002918178,6.358173808273945e-19,0.5326554420059976,17.409639443762103,2242.680221486222,17.409639443762103,630.1607590720091,17.409639443762103
51155.0,1340644.1159933,1665922.31569329,-0.3578767356054361,-0.21422679784358958,-0.3078668424505304,-0.05000989315490567,0.9649055550654699,-0.2550379454090268,0.029153842205279522,0.04784409189428815,0.14829836281453918,0.026028024226901696,0.11273945343231159,0.014876240073112333,0.13402659630426259,0.025314312263238246,0.15933617860496793,-2.2621889466774006,1.9597587873008895,0.35697460961907984,5.858281326089979,0.1633528835370862,0.023754573616724957,0.05011331908486313,0.7211350717239922,5.1664670011253475e-09,0.8702512288918266,16.721757777465193,2338.8508950644427,16.721757777465193,645.4868903312932,16.721757777465193
51157.0,1528386.59699191,1883461.06373609,-0.35019849648271595,-0.5909870086562715,-0.2457649213518596,-0.10443357513085635,0.5990454296151055,-0.11365223566816401,0.029839712504865862,-0.026939692074781526,0.22119465840138525,0.06860672077621693,0.1433412075203676,0.014894269476911557,0.057026316581179286,0.02524267718583255,0.23555043158836764,-0.7928790166778452,2.0034357879130678,-0.4724080685876279,8.762725790651507,0.29126128240813204,0.42790889172956736,0.045217279221475566,0.6366687464796739,3.077453228235163e-18,0.7708709511945154,13.547039417489938,2262.9127941117063,13.547039417489938,636.7464896579029,13.547039417489938
51159.0,1666226.66132827,1826018.50951519,-0.2967623356949945,-0.3503097607298089,-0.21630036769165092,-0.08046196800334357,0.4058503177437415,-0.13255849231428213,0.029960919103939346,0.07200361743157363,0.2309738387673991,0.009113943927642889,0.1562873679150571,0.014908268432152344,0.06914601716780015,0.02566148827798447,0.09462143854752599,-0.8481715066461947,2.00968470887761,1.0413270406716093,9.000796690562817,0.09632007362755517,0.396407841221999,0.04455093173610603,0.297804864027781,3.8155895710477485e-19,0.9232725847983608,13.989887600470876,2223.1260061177877,13.989887600470876,613.2172610606419,13.989887600470876
